idna_subject,checker_type,destination,tested_at
bango.combango.org,AVAILABILITY,origin.list,2021-08-03 01:30:49.241243
custom-blacklisted-tracking-example.com,AVAILABILITY,origin.list,2021-08-03 01:30:54.837202
